event_num,interaction_num,index,crystal,edep,x,y,z,slice_sect,time
1632,3,5760,9,150.723,-5.715,-4.983,-29.733,42,149871569.644
1632,4,5761,9,106.862,-5.262,-5.229,-29.549,42,149871569.662
1632,5,5762,9,120.212,-5.85,-4.953,-29.468,42,149871569.684
1633,0,5763,9,693.046,-4.237,-5.959,-22.549,1,52638109.164
1633,1,5765,12,320.258,2.162,-4.005,-23.505,3,52638109.39
1634,0,5766,7,421.234,-13.302,-6.439,-24.043,34,264658309.916
1634,1,5768,7,364.894,-13.061,-6.297,-24.802,34,264658309.945
1634,2,5769,32,84.378,-14.221,-3.744,-23.765,33,264658310.094
1635,0,5770,14,293.981,7.056,-10.603,-23.06,24,20232044.644
1635,1,5773,14,523.086,11.953,-12.19,-26.234,53,20232044.85
1635,2,5774,14,6.304,12.819,-11.453,-25.948,53,20232044.891
1635,3,5775,14,161.339,13.641,-8.941,-26.336,52,20232044.985
1636,0,5776,27,460.216,-20.467,7.153,-17.256,30,20576098.321
1637,0,5777,15,534.104,17.923,4.7,-16.371,0,13584283.812
1637,1,5778,17,157.562,17.621,6.652,-18.293,20,13584283.904
1637,2,5780,17,72.228,20.188,7.574,-20.349,40,13584284.018
1637,3,5781,17,78.604,19.672,7.835,-22.478,40,13584284.092
1637,4,5783,17,161.557,19.021,7.494,-22.272,40,13584284.119
1638,0,5785,27,423.585,-19.151,6.184,-14.378,1,28634926.547
1638,1,5786,27,354.127,-21.973,9.539,-15.99,33,28634926.702
1638,2,5787,27,24.586,-22.077,9.34,-15.486,33,28634926.721
1638,3,5788,27,41.016,-22.225,8.756,-15.33,32,28634926.741
1638,4,5789,27,144.697,-21.941,8.29,-15.799,32,28634926.765
1639,0,5791,14,874.232,8.21,-7.755,-23.649,25,37790200.995
1639,1,5792,14,122.233,8.033,-7.249,-24.055,25,37790201.02
1640,0,5793,6,400.065,-4.488,-0.944,-25.785,24,106626908.184
1640,1,5794,6,423.492,-5.088,-1.959,-26.63,25,106626908.233
1640,2,5796,41,119.269,11.917,-12.84,-15.965,5,106626909.062
1641,0,5797,13,991.677,10.259,1.155,-23.613,12,87294072.937
1642,0,5798,0,517.726,3.722,5.406,-23.743,5,24802137.743
1642,1,5800,1,486.196,6.444,9.59,-25.589,30,24802137.935
1643,0,5801,15,102.083,19.034,3.788,-18.043,25,114187230.877
1643,1,5802,15,314.186,22.261,3.419,-19.859,45,114187231.001
1643,2,5803,15,18.999,26.3,2.849,-18.623,54,114187231.143
1644,0,5804,36,662.105,2.85,-21.019,-14.036,15,266082424.979
1644,1,5805,36,348.118,3.776,-21.027,-13.859,14,266082425.01
1645,0,5806,16,175.861,15.321,5.179,-19.693,15,78348624.248
1645,1,5807,16,480.802,16.223,5.42,-20.117,25,78348624.282
1645,2,5809,17,130.292,15.786,6.959,-21.428,31,78348624.362
