event_num,interaction_num,crystal,edep,x,y,z,slice_sect,time
104,3,39,77.308,116.837,-163.161,-185.295,20,37898549.800
104,4,39,113.621,119.422,-163.692,-180.867,20,37898549.817
104,5,39,64.454,113.452,-165.227,-178.469,20,37898549.840
104,6,39,131.996,116.029,-169.266,-179.095,20,37898549.856
105,1,29,720.851,-177.567,-7.016,-181.089,13,180056925.863
105,2,29,279.149,-176.001,5.058,-163.587,03,180056925.934
106,1,13,237.084,97.975,-28.213,-302.227,51,31918209.501
106,2,12,70.891,84.931,-53.231,-294.716,50,31918209.710
106,3,12,45.905,84.787,-53.298,-294.771,50,31918209.710
106,4,12,112.064,87.026,-52.960,-297.336,50,31918209.722
107,1,30,267.380,-151.048,-79.117,-176.756,11,83652395.407
107,2,34,151.629,-156.493,-98.770,-204.801,32,83652395.523
107,3,34,182.593,-156.660,-103.100,-206.192,32,83652395.538
107,4,34,99.994,-136.627,-118.909,-199.071,21,83652395.627
107,5,34,113.901,-126.346,-116.476,-203.028,21,83652395.690
108,1,40,260.279,103.447,-125.956,-211.765,25,4326772.054
108,2,40,203.892,106.049,-128.045,-212.918,25,4326772.065
108,3,41,175.649,117.089,-130.004,-209.925,21,4326772.104
108,4,41,53.325,136.943,-111.320,-215.967,32,4326772.197
108,5,43,306.856,202.950,-99.672,-201.262,45,4326772.426
109,1,9,640.156,-41.927,-44.751,-296.575,42,17801871.115
110,1,26,637.279,-69.385,155.013,-198.677,22,107590926.149
110,2,26,362.721,-69.232,154.855,-198.896,22,107590926.150
111,1,12,81.460,71.271,-61.290,-264.196,31,130897982.433
111,2,12,78.543,71.253,-62.294,-270.521,31,130897982.454
111,3,12,641.801,71.225,-62.158,-271.375,31,130897982.457
111,4,12,198.196,72.399,-64.158,-266.013,31,130897982.477
112,1,39,664.320,103.322,-194.482,-161.804,24,63870391.792
112,2,39,81.008,112.444,-190.178,-159.397,24,63870391.826
112,3,39,4.575,119.810,-175.533,-169.400,20,63870391.890
112,4,39,93.469,121.324,-165.348,-175.430,20,63870391.930
112,5,39,38.612,124.126,-167.034,-175.680,20,63870391.941
112,6,39,118.016,116.666,-179.614,-172.412,20,63870391.991
113,1,23,213.683,-56.883,207.713,-207.522,43,12364081.741
113,2,23,1.232,-61.333,211.718,-209.641,43,12364081.762
114,1,37,429.862,-25.240,-230.099,-130.349,22,63047508.503
114,2,36,26.212,14.464,-251.983,-189.579,55,63047508.752
