event_num,interaction_num,crystal,edep,x,y,z,slice_sect,time
113,3,8,252.224,-130.207,-14.437,-245.106,31,461189764.694
113,4,32,180.698,-167.735,-39.901,-260.252,53,461189764.925
114,1,13,800.740,101.742,-6.289,-227.845,02,9523063.710
114,2,13,22.712,101.031,-6.266,-226.840,02,9523063.714
114,3,13,71.341,93.770,-10.612,-224.512,01,9523063.743
114,4,13,105.207,95.322,-10.094,-225.048,01,9523063.749
115,1,43,779.948,156.500,-83.197,-164.994,05,28407947.249
116,1,23,740.784,-36.903,171.216,-160.687,04,114660471.862
117,1,7,354.599,-100.228,-75.857,-237.724,23,71417235.737
117,2,7,334.189,-95.661,-80.873,-246.673,33,71417235.775
117,3,7,31.453,-96.244,-81.576,-246.713,33,71417235.778
117,4,34,7.703,-134.731,-107.421,-262.073,53,71417235.965
117,5,34,45.558,-139.400,-105.844,-260.337,53,71417235.983
117,6,7,155.343,-136.706,-76.546,-255.908,44,71417236.082
118,1,15,756.808,189.306,47.710,-158.636,00,186261809.374
119,1,24,83.532,-161.257,122.325,-155.386,13,5222063.276
119,2,24,204.826,-163.830,126.055,-157.889,23,5222063.293
119,3,24,249.465,-174.424,152.934,-210.163,51,5222063.492
119,4,24,262.739,-174.892,153.418,-210.300,51,5222063.495
119,5,24,12.518,-151.086,158.009,-196.884,40,5222063.587
119,6,24,6.306,-143.850,162.765,-196.657,40,5222063.616
119,7,24,52.284,-142.718,163.878,-195.902,40,5222063.622
119,8,24,128.330,-142.201,163.936,-197.295,40,5222063.627
120,1,29,298.699,-184.487,0.969,-175.752,13,164856313.835
120,2,32,16.867,-212.347,-71.666,-232.021,50,164856314.263
120,3,32,65.890,-211.993,-71.712,-231.729,50,164856314.264
120,4,32,148.653,-209.705,-64.618,-234.944,50,164856314.291
121,1,6,364.883,-67.732,28.502,-252.976,22,119754575.582
121,2,4,110.126,-90.758,64.534,-279.828,42,119754575.750
121,3,4,310.471,-89.098,74.530,-289.775,51,119754575.797
121,4,4,32.274,-66.647,75.178,-265.858,31,119754575.907
121,5,3,25.945,-45.505,61.068,-265.585,35,119754575.992
121,6,3,156.301,-38.970,60.746,-257.835,25,119754576.026
122,1,16,221.138,145.413,0.151,-215.258,23,47781543.873
122,2,13,290.336,146.923,-1.873,-249.985,34,47781543.989
122,3,13,306.488,141.163,-1.148,-255.099,43,47781544.015
122,4,13,51.338,141.579,-1.528,-254.824,44,47781544.017
122,5,13,27.200,139.965,-3.207,-255.211,34,47781544.025
122,6,13,0.467,139.893,-2.358,-257.119,43,47781544.032
122,7,13,103.032,144.579,-3.025,-266.250,44,47781544.068
123,1,18,602.452,70.729,221.395,-211.269,52,44923293.062
